Year,Input,Gerd_storage,Gerd_release,Roseires_storage,Roseires_release,Sennar_storage,Sennar_release,Had_storage,Had_release
92,"[1957.9113478929644, 693.6130087516545, 1007.7800137742665, 72.88730260619892]",1730958981.3378444,1840.229213635948,1295376117.6157613,1799.0453844040396,147595100.3050951,1693.3550394878373,41839196334.82956,87.47518796876268
93,"[944.4296075592839, 6830.067734163568, 711.8864846022899, 1275.9025211750452]",1682760043.741072,944.4296075593044,30358335.218266346,1675.2561723646502,137581934.43184897,1654.559717319577,48630753844.47955,1275.9025211750109
94,"[8448.753109694546, 232.71935735825866, 8144.684825889358, 1127.4190990935997]",470354394.49312556,839.7126933645873,1266282559.2906754,465.4833975254299,1656683.2911057398,428.93067942596014,52430832094.00999,1127.4190990936002
95,"[1181.6482762165626, 6967.371653641507, 6289.42846779884, 3509.8880541082117]",210862326.5306873,288.53259151119966,27978854.517417457,812.6573396036233,3388586.618484161,769.4869060390786,45975552100.28471,3509.8880541082635
96,"[7350.710438038857, 8034.809303848486, 2820.345725713065, 709.7581751188912]",114715850.93884814,143.4858143813011,27479389.192208186,171.95591031309647,586540.4863418505,134.3503942623125,47791545336.94496,709.758175118896
97,"[7506.147516408583, 8068.34739267264, 9905.051420006734, 1650.470707645706]",72560979.20720984,85.85193279310377,27320135.133291133,114.77310963341814,301916.9890095706,68.7351049404806,45862594363.14307,1650.4707076457141
98,"[3720.1808579278318, 7764.129607419968, 3408.0354025301785, 3723.029302414259]",53480907.5197195,59.18729667746779,27190734.397808217,68.39015220442943,199179.32019430457,45.306369111232975,38367337919.219124,3392.975299890557
99,"[8584.127518430118, 4289.940273750183, 7508.7106779149735, 3018.1714963387294]",51460664.74123284,52.075604305084845,27166341.88204549,59.6111949980847,173043.49441059417,39.338145921861496,32525893075.28919,2851.9848970597623
100,"[1031.238688359326, 9025.529066795667, 5052.523724478571, 3305.8298644309666]",81313450.2428679,72.37686293272743,27256771.098497003,91.96962066587089,262442.5591429647,59.61267004260821,28437697773.795082,2475.539752588736
101,"[3200.4960103061176, 8955.232284962005, 3892.0167873416312, 43.35060592119344]",240007768.49560246,191.6229987465376,27713576.027091224,255.50444054362444,784619.4155380558,178.1211614394537,30435358618.18354,43.3506059211927
102,"[9053.819764192636, 912.8667678613356, 3193.1363759041487, 3800.2478682032197]",953685787.555564,739.7059972758609,210844933.59929755,912.2816528496656,3585487.006353688,813.8376286955693,25812127293.95955,2292.6594834624902
103,"[9506.071469375562, 5734.378881232861, 6318.372121697993, 1793.7820879132792]",2102029521.07393,1731.1954936939926,33640391.65634399,2445.4754610822797,10348190.883311061,2349.3365784222233,26083417754.440113,1793.7820879132219
104,"[2932.1077169806454, 3286.6454536991596, 6725.184560770384, 3009.49811775072]",1728607436.4072113,1841.139266688244,33705353.26509327,2402.5630078830463,10343578.25428794,2350.8150191346554,34244014348.844765,2467.552349707971
105,"[7915.790437258485, 7896.181427945539, 912.0610304869036, 1977.6812188103258]",982474459.7016412,1205.9477523730022,31259614.717611097,1527.1711810633492,122167726.08493088,1461.3189348708436,41840860256.44956,1977.6812188103868
106,"[575.5876001664428, 5495.288823237355, 4415.3050137337705, 3550.816731033199]",484865315.34133047,564.2240933552368,28704804.414390408,611.8323010212341,2300382.7582178363,569.0345145200591,39826331626.79394,3296.0932441452824
107,"[3509.150125520787, 1170.6701642760586, 1429.9168205283586, 3046.042526869889]",211848284.99615312,293.5667947664472,27983096.558829375,352.5217405791559,1364686.3377442467,310.5051899240184,35035419529.40037,2981.9186641086935
108,"[6182.18063316261, 1011.2267612279024, 841.0680611499744, 2803.87652583648]",114782747.02723832,143.8277220166775,27469296.54614105,168.34497672548903,570657.6562884477,129.99126379767583,30582488098.118843,2653.9711648082234
109,"[727.6300636419353, 8218.600592903562, 7062.422271564962, 325.39512256759906]",72566861.98322223,85.8770523754358,27265038.418517612,95.05006600558497,215168.39885775576,49.04879825296049,31943424919.007812,325.39512256760327
110,"[848.3771408519192, 9866.395785011755, 3742.7079575612033, 1482.5685882675637]",53481305.632057786,59.189335120400095,27182354.647205677,65.3701711208164,185896.965858601,42.260234548653216,29659666910.3232,1482.5685882675903
111,"[8127.995672575025, 9472.485773838587, 9860.010638228709, 3013.5127410357663]",51460694.14621343,52.07574594050819,27155192.123652216,55.61720544045488,155477.35747536333,35.34749406931065,25463120144.786263,2250.095607100918
112,"[3762.5958553091577, 835.0071669866876, 7771.4691592743675, 2233.61699894322]",81313452.24210477,72.37687313601693,27367628.98995868,131.6454440421986,436955.19346878957,99.20294344554762,22776137940.794067,1986.1611961936703
113,"[4242.220092469763, 9063.54385094736, 1111.9748230615135, 1970.5004171634366]",240007768.64448828,191.62299945958262,27760703.29208724,272.4151484276613,859024.6885630428,195.07006096872257,20451770553.990383,1793.282173132419
114,"[113.53644767419068, 4686.606419941263, 563.0327568183735, 475.2716650722877]",2378061339.196968,207.9594165466786,28367101.869305227,489.61842740493114,1725668.111510141,391.87370690643746,20811846088.43738,475.2716650722919
115,"[1175.2624677710487, 6492.103021160636, 7460.448792654233, 2333.4750603886387]",5015287620.077301,1175.2624677710548,31733649.015777215,1694.8518659667934,7045347.036087016,1599.2290152184119,20412858475.25701,1718.543628433611
116,"[9621.725484745419, 3748.7057952370405, 2857.1208628186073, 3474.3965127578413]",3619968858.266296,2234.581782138362,34646268.640624076,2738.6027758004716,11822120.078546513,2685.0026235438095,27214614742.929085,1975.4597694370623
117,"[2235.9583851945263, 9632.225394406114, 121.54474689816341, 3879.5153068305563]",1225251250.2510636,1819.2033324153422,33064716.973162144,2173.632826354142,189463861.6243518,2082.241969138179,35487220154.69284,2559.6039990032887
118,"[431.5991195057611, 8911.431136980711, 5277.011090862999, 3971.8591844772013]",1068578800.3026649,431.59911950577526,28499867.2626642,539.176943390909,1980816.1886189787,522.4704009026524,36302473086.723015,2900.2742816905065
119,"[737.9656473539886, 5538.542844013208, 9693.02535619099, 2092.3913766805954]",259925563.08290324,492.8489392263073,28578962.126171794,565.7267275375096,2302419.928632631,523.157228485535,33897302622.773083,2092.3913766805545
120,"[6293.986381352625, 6957.486889846172, 4545.410647677732, 2510.232320336254]",118044732.148402,160.49981221289607,27491038.84366891,176.3497831979665,605867.1049609666,138.33022388819566,30335154696.922794,2507.228350868022
121,"[5843.143119231002, 9011.58010490989, 454.4638034145787, 1123.8527583689213]",72853717.73645811,87.10193272029889,27265126.971362926,95.0907457683996,215347.32215876697,49.103937376849835,29771046528.253124,1123.85275836892
